Predictions1,Predictions2,Predictions3,Predictions4,Weights1,Weights2,Weights3,Weights4,Updates1,Updates2,Updates3,Updates4,Targets
0.20393658,2.6873426,2.6847486,0.15266657,0.29133797,3.839061,3.8353553,0.21809511,-0.3570265,4.8581257,4.8526783,-0.46469352,0.3739492
0.2555127,2.6870375,2.684596,0.15632868,0.35987708,3.78456,3.7811213,0.22018124,-0.31045267,4.868695,4.8634944,-0.5217146,0.40126514
0.29076052,2.6868849,2.6847486,0.15510798,0.40383404,3.7317843,3.7288175,0.21542774,-0.12852202,5.0471067,5.0424924,-0.42153153,0.35026145
0.31914234,2.6868849,2.6847486,0.15526056,0.43718126,3.680664,3.6777377,0.2126857,-0.034315087,5.1510415,5.1463633,-0.3932162,0.33481133
0.32997608,2.6868849,2.684596,0.14457941,0.4459136,3.6309254,3.6278324,0.19537757,-0.18220744,5.0501304,5.045049,-0.593788,0.4120515
0.3395896,2.6873426,2.684596,0.15403986,0.45278612,3.5831234,3.5794613,0.20538647,0.016609177,5.2990537,5.292874,-0.4008777,0.33220774
0.33989477,2.6873426,2.6847486,0.13466072,0.44722998,3.5359771,3.5325642,0.17718516,-0.042303056,5.309878,5.3039637,-0.5102367,0.35844874
0.35667944,2.6873426,2.6847486,0.14320612,0.46322006,3.4900556,3.4866867,0.18598197,-0.024622241,5.3592095,5.3532176,-0.5177456,0.36733842
0.36919165,2.6873426,2.6847486,0.14442682,0.47332263,3.4453113,3.4419856,0.1851626,-0.054552175,5.369921,5.363851,-0.58050185,0.39250454
0.36873388,2.6873426,2.684596,0.14946222,0.46675172,3.4016995,3.3982227,0.18919268,-0.009306478,5.4857965,5.479287,-0.5289803,0.37266067
0.37148094,2.68719,2.6849012,0.15266657,0.46435118,3.3589876,3.3561265,0.19083321,-0.15839368,5.399308,5.393815,-0.6835482,0.4374783
0.37041235,2.6873426,2.6847486,0.16395807,0.4572992,3.317707,3.3145044,0.20241737,-0.10637178,5.523769,5.5174656,-0.6080557,0.41418675
0.37758446,2.68719,2.684596,0.15785456,0.46046886,3.277061,3.2738976,0.19250555,-0.15397567,5.527654,5.5212727,-0.69451123,0.4401762
0.3882656,2.6870375,2.684596,0.1624322,0.4677899,3.2373946,3.2344532,0.19570144,-0.07702123,5.6469207,5.6408415,-0.6393464,0.41919783
0.41649532,2.6868849,2.6844435,0.15770197,0.4958278,3.1986725,3.1957662,0.18774045,0.12186717,5.8432484,5.837096,-0.5302921,0.36813533
0.40794945,2.6870375,2.683528,0.13603401,0.4799405,3.1612206,3.1570916,0.16004,-0.070299044,5.7413754,5.732426,-0.76368344,0.4355177
0.4143591,2.6870375,2.683528,0.16395807,0.4818129,3.1244621,3.1203814,0.19064891,-0.119371325,5.7441387,5.735084,-0.76540595,0.46062705
0.42244625,2.6870375,2.6844435,0.17143488,0.4855704,3.088549,3.0855672,0.19705158,-0.08797028,5.8226132,5.815843,-0.74311,0.45615134
0.42122555,2.6870375,2.6844435,0.16899347,0.4786654,3.0534518,3.050504,0.19203804,-0.07407703,5.907666,5.900818,-0.7399697,0.44928503
0.43968868,2.6868849,2.6836805,0.1660943,0.49403223,3.018972,3.0153713,0.18662281,0.01049621,6.01051,6.001954,-0.7200008,0.43575752
0.45708418,2.686122,2.6833754,0.15770197,0.5078713,2.98458,2.9815283,0.17522441,-0.010873245,6.0075283,6.0001125,-0.81920516,0.4611113
0.45708418,2.6870375,2.6833754,0.1624322,0.5022903,2.9527884,2.948764,0.17849691,0.110781215,6.198554,6.1885567,-0.6936187,0.41650498
0.45906782,2.6859694,2.6832228,0.142138,0.49898675,2.9195318,2.9165463,0.15449783,0.08893931,6.2351875,6.2276073,-0.785787,0.42684343
0.46776533,2.6859694,2.6836805,0.14290094,0.5029735,2.888139,2.885678,0.15365693,0.1478123,6.3366013,6.3302155,-0.75855935,0.414786
0.47295332,2.686122,2.6836805,0.15037775,0.5031418,2.8575766,2.8549793,0.15997633,0.087854885,6.32899,6.3221054,-0.8218082,0.4417991
