Weights1,Weights2,Weights3,Weights4,Targets
0.38398555,0.38394132,0.38464898,0.38482592,0.13932626
0.37847826,0.37845647,0.379154,0.37865266,0.1343993
0.37316906,0.3731261,0.3731261,0.37385678,0.14864378
0.36796495,0.36794376,0.36864313,0.36849478,0.16407967
0.36294526,0.36290345,0.36357233,0.364283,0.124670066
0.35801998,0.35797873,0.35801998,0.3584736,0.15179995
0.35324636,0.35320568,0.35326672,0.35389742,0.17591858
0.3485984,0.34857833,0.34926096,0.35050574,0.15317151
0.34405133,0.34409097,0.34409097,0.34454674,0.15497106
0.33967954,0.3396404,0.33966,0.33999255,0.18643953
0.33537978,0.33534116,0.3359399,0.3378521,0.15750922
0.33116847,0.33116847,0.33116847,0.33162624,0.16394046
0.327193,0.32704228,0.32709882,0.3279465,0.16580325
0.3231098,0.323054,0.3230912,0.32398438,0.1714114
0.3192169,0.3192169,0.3192169,0.3203751,0.17987402
0.31539854,0.31541672,0.31599802,0.31701526,0.19482298
0.31168798,0.31170592,0.31170592,0.3141114,0.16375446
0.3080282,0.30808145,0.3080637,0.30832982,0.19605403
0.30452272,0.3045052,0.30508396,0.3068905,0.17641899
0.3010796,0.30106226,0.30106226,0.30189455,0.17949538
0.29767954,0.29769668,0.29769668,0.29860535,0.16066952
0.29438895,0.29435503,0.294372,0.2950332,0.19739327
0.2911371,0.29112035,0.2911371,0.29326662,0.19588959
0.28797257,0.28797257,0.287956,0.28953162,0.20865366
0.2848925,0.2848761,0.2848597,0.28723875,0.19725104
0.28181306,0.28186175,0.28186175,0.2834201,0.20257235
0.27887872,0.27887872,0.27889478,0.28077403,0.19073835
0.27598962,0.27597374,0.27598962,0.2769751,0.19532028
0.27314436,0.27314436,0.27314436,0.27448148,0.21209264
0.2703416,0.2703416,0.27035716,0.272428,0.18687329
0.26761088,0.26761088,0.26761088,0.268212,0.19502093
0.0,0.0,0.0,0.0,0.0059917853
